bank_name,LEI,bank_country,vasicek_class,pd_pct,lgd_pct,source,source_period,source_table,source_page,note
Groupe BPCE,FR9695005MSX1OYEMGDF,FR,bank,0.20,45.00,Basel III F-IRB default,2025-Q4,Institutions class,n/a,Standard
Groupe BPCE,FR9695005MSX1OYEMGDF,FR,sovereign,0.05,45.00,Basel III F-IRB default,2025-Q4,Central governments,n/a,Standard
Deutsche Bank,7LTWFZYICNSX8D621K86,DE,corporate,3.08,38.32,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / Germany row,3,DE Corporates W.A.
Deutsche Bank,7LTWFZYICNSX8D621K86,DE,sme_corporate,3.24,30.08,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / Germany row,3,DE Corporates-SME W.A.
Deutsche Bank,7LTWFZYICNSX8D621K86,DE,mortgage,0.87,20.08,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / Germany row,3,Retail - Secured by residential real estate
Deutsche Bank,7LTWFZYICNSX8D621K86,DE,qrre,0.80,63.13,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / Germany row,3,Retail - Qualifying Revolving
Deutsche Bank,7LTWFZYICNSX8D621K86,DE,other_retail,1.86,41.53,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / Germany row,3,Retail - Other Retail
Deutsche Bank,7LTWFZYICNSX8D621K86,DE,bank,0.20,45.00,Basel III F-IRB default,2025-Q4,Institutions class,n/a,Standard
Deutsche Bank,7LTWFZYICNSX8D621K86,DE,sovereign,0.05,45.00,Basel III F-IRB default,2025-Q4,Central governments,n/a,Standard
Crédit Mutuel,9695000CG7B84NLR5984,FR,corporate,1.42,34.17,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / France row,2,Same France aggregate
Crédit Mutuel,9695000CG7B84NLR5984,FR,sme_corporate,1.25,28.95,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / France row,2,Same France aggregate
Crédit Mutuel,9695000CG7B84NLR5984,FR,mortgage,0.83,14.01,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / France row,2,Same France aggregate
Crédit Mutuel,9695000CG7B84NLR5984,FR,qrre,2.16,53.12,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / France row,2,Same France aggregate
Crédit Mutuel,9695000CG7B84NLR5984,FR,other_retail,1.82,31.84,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / France row,2,Same France aggregate
Crédit Mutuel,9695000CG7B84NLR5984,FR,bank,0.20,45.00,Basel III F-IRB default,2025-Q4,Institutions class,n/a,Standard
Crédit Mutuel,9695000CG7B84NLR5984,FR,sovereign,0.05,45.00,Basel III F-IRB default,2025-Q4,Central governments,n/a,Standard
Banco Santander,5493006QMFDDMYWIAM13,ES,corporate,0.94,26.45,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / Spain row,7,ES Corporates W.A.
Banco Santander,5493006QMFDDMYWIAM13,ES,sme_corporate,0.78,19.15,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / Spain row,7,ES Corporates-SME W.A.
Banco Santander,5493006QMFDDMYWIAM13,ES,mortgage,0.90,27.90,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / Spain row,7,Retail - Secured by residential real estate
Banco Santander,5493006QMFDDMYWIAM13,ES,qrre,1.38,71.12,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / Spain row,7,Retail - Qualifying Revolving
Banco Santander,5493006QMFDDMYWIAM13,ES,other_retail,1.72,51.74,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / Spain row,7,Retail - Other Retail
Banco Santander,5493006QMFDDMYWIAM13,ES,bank,0.20,45.00,Basel III F-IRB default,2025-Q4,Institutions class,n/a,Standard
Banco Santander,5493006QMFDDMYWIAM13,ES,sovereign,0.05,45.00,Basel III F-IRB default,2025-Q4,Central governments,n/a,Standard
Coöperatieve Rabobank,DG3RU1DBUFHT4ZF9WN62,NL,corporate,1.10,29.35,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / Netherlands row,5,Same NL aggregate
Coöperatieve Rabobank,DG3RU1DBUFHT4ZF9WN62,NL,sme_corporate,1.44,25.45,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / Netherlands row,5,Same NL aggregate
Coöperatieve Rabobank,DG3RU1DBUFHT4ZF9WN62,NL,mortgage,0.65,14.21,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / Netherlands row,5,Same NL aggregate
Coöperatieve Rabobank,DG3RU1DBUFHT4ZF9WN62,NL,qrre,0.86,65.81,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / Netherlands row,5,Same NL aggregate
Coöperatieve Rabobank,DG3RU1DBUFHT4ZF9WN62,NL,other_retail,2.45,26.56,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / Netherlands row,5,Same NL aggregate
Coöperatieve Rabobank,DG3RU1DBUFHT4ZF9WN62,NL,bank,0.20,45.00,Basel III F-IRB default,2025-Q4,Institutions class,n/a,Standard
Coöperatieve Rabobank,DG3RU1DBUFHT4ZF9WN62,NL,sovereign,0.05,45.00,Basel III F-IRB default,2025-Q4,Central governments,n/a,Standard
UniCredit,549300TRUWO2CD2G5692,IT,corporate,1.67,34.97,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / Italy row,4,IT Corporates W.A.
UniCredit,549300TRUWO2CD2G5692,IT,sme_corporate,2.97,34.27,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / Italy row,4,IT Corporates-SME W.A.
UniCredit,549300TRUWO2CD2G5692,IT,mortgage,1.15,21.84,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / Italy row,4,Retail - Secured by residential real estate
UniCredit,549300TRUWO2CD2G5692,IT,qrre,3.82,55.45,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / Italy row,4,Retail - Qualifying Revolving
UniCredit,549300TRUWO2CD2G5692,IT,other_retail,2.80,38.01,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / Italy row,4,Retail - Other Retail
UniCredit,549300TRUWO2CD2G5692,IT,bank,0.20,45.00,Basel III F-IRB default,2025-Q4,Institutions class,n/a,Standard
UniCredit,549300TRUWO2CD2G5692,IT,sovereign,0.05,45.00,Basel III F-IRB default,2025-Q4,Central governments,n/a,Standard
